,I,C,dI/dy,I^2,I^4,I^3,d^2I/dy^2
eqn_0.1_0_0.txt,-259.75400442750004,-0.04086430119828368,1.0,0.0,0.0,0.0,0.0
eqn_0.1_1_0.txt,-8.674878373056277,0.0008523757765033224,1.0,2149.648058992669,1330.6054549582166,3425.5374128990447,0.0
eqn_0.1_2_0.txt,-259.75400442750004,-0.04086430119828368,1.0,0.0,0.0,0.0,0.0
eqn_0.1_3_0.txt,-8.674878373002741,0.0008523757763896356,1.0,2149.648058992914,1330.605454958868,3425.5374128997937,0.0
eqn_0.2_0_0.txt,-107.52802687687844,-0.07570986176688166,1.0,478.83207638190333,-525.0327894445729,0.0,0.0
eqn_0.2_1_0.txt,70.68818702310375,0.04943365695726243,1.0,2853.746093528205,3041.325258910333,5646.043858148817,0.0
eqn_0.2_2_0.txt,70.6881870231814,0.04943365695646662,1.0,2853.7460935283075,3041.325258910494,5646.043858148971,0.0
eqn_0.2_3_0.txt,-197.7226557716169,-0.14474558680410798,1.0,0.0,0.0,0.0,0.0
eqn_0.3_0_0.txt,-61.586761362770176,-0.044026717114547864,1.0,-191.26817177822863,-1511.1444259189245,-1646.2534039331204,0.0
eqn_0.3_1_0.txt,-9.426702672644836,0.003606738696007028,1.0,419.9008662883601,-348.3775301917088,0.0,0.0
eqn_0.3_2_0.txt,-69.83527300735636,-0.05843391251214314,1.0,109.74609926812815,0.0,0.0,0.0
eqn_0.3_3_0.txt,-69.83527300735636,-0.05843391251214314,1.0,109.74609926812815,0.0,0.0,0.0
eqn_0.4_0_0.txt,-97.67009306314363,-0.15493553953011485,1.0,0.0,0.0,0.0,-0.0005024588033907503
eqn_0.4_1_0.txt,-97.67009306314361,-0.15493553953012068,1.0,0.0,0.0,0.0,-0.0005024588033907002
eqn_0.4_2_0.txt,-97.67009306314363,-0.15493553953011485,1.0,0.0,0.0,0.0,-0.0005024588033907503
eqn_0.4_3_0.txt,-109.27348786908055,-0.1753083996519531,1.0,0.0,0.0,0.0,0.0
eqn_0.5_0_0.txt,-23.233212346384352,-0.05047397048416968,1.0,54.63997403355576,0.0,0.0,0.0
eqn_0.5_1_0.txt,-23.233212346384352,-0.05047397048416968,1.0,54.63997403355576,0.0,0.0,0.0
eqn_0.5_2_0.txt,-23.128943099608072,-0.05069369757919162,1.0,50.2544695420808,0.0,0.0,-0.0006053638173003925
eqn_0.5_3_0.txt,-23.233212346384434,-0.05047397048416613,1.0,54.63997403355558,0.0,0.0,0.0
eqn_0.6_0_0.txt,-15.892865408962876,-0.046732231990901596,1.0,-31.711422894012067,-449.6676482456844,-482.54987928118135,0.0
eqn_0.6_1_0.txt,-15.892865408960404,-0.04673223199080212,1.0,-31.711422894006475,-449.6676482456825,-482.54987928117663,0.0
eqn_0.6_2_0.txt,-15.892865408963324,-0.04673223199074528,1.0,-31.71142289402445,-449.66764824570413,-482.54987928121307,0.0
eqn_0.6_3_0.txt,-18.659509879434548,-0.07864621695956231,1.0,50.76366423639695,0.0,0.0,0.0
eqn_0.7_0_0.txt,-16.67221751626463,-0.06906394730924958,1.0,45.06901147994517,0.0,0.0,0.0
eqn_0.7_1_0.txt,-16.67221751626491,-0.06906394730926024,1.0,45.069011479944905,0.0,0.0,0.0
eqn_0.7_2_0.txt,-16.67221751626491,-0.06906394730926024,1.0,45.069011479944905,0.0,0.0,0.0
eqn_0.7_3_0.txt,-31.45043410833202,-0.14007133635391256,1.0,-168.17597491978592,-517.4818027013879,-672.0652129748081,0.0
eqn_0.8_0_0.txt,-23.336218649892952,-0.14647827257346868,1.0,0.0,-85.02738100509168,-92.87312223548393,-0.0010615252964356614
eqn_0.8_1_0.txt,-19.293706113901397,-0.11680065612882196,1.0,43.2612755050867,-24.642457803709775,0.0,0.0
eqn_0.8_2_0.txt,0.0,0.09257403826860694,1.0,61.19363652453002,0.0,0.0,0.0
eqn_0.8_3_0.txt,-24.763569173190476,-0.16185484614875634,1.0,21.053044683581508,0.0,0.0,0.0
eqn_0.9_0_0.txt,-38.90606556332121,-0.25346462311593854,1.0,0.0,0.0,0.0,0.0
eqn_0.9_1_0.txt,-56.044278919656286,-0.4058998951427058,1.0,0.0,134.5054543948145,160.64391552627782,-0.002308034225080746
eqn_0.9_2_0.txt,-54.753533862623385,-0.39144288901772484,1.0,-41.52094835798125,0.0,0.0,-0.0027307681150098894
eqn_0.9_3_0.txt,-38.90606556332121,-0.25346462311593854,1.0,0.0,0.0,0.0,0.0
eqn_1_0_0.txt,0.0,-0.001254201721735626,1.0,421.2388629103913,696.5538293626009,1059.6602598410236,-0.0021856132475454627
eqn_1_1_0.txt,-50.58106553753341,-0.384695261266085,1.0,-26.43341086668591,0.0,0.0,0.0
eqn_1_2_0.txt,0.0,-0.001254201721657966,1.0,421.2388629103888,696.5538293614395,1059.6602598418247,-0.0021856132476045786
eqn_1_3_0.txt,-35.85620857259017,-0.24971293546709727,1.0,0.0,0.0,0.0,0.0
